modality,contrast,roi,window,start_ms,end_ms,n_subjects,n_timepoints,mean_difference,sem_average,peak_positive,peak_positive_time_ms,peak_negative,peak_negative_time_ms,abs_peak,abs_peak_time_ms,window_area,source_file
ear_full_main,emotional_vs_neutral,ear_right,W1,80.0,130.0,11,13,0.30199767371430825,0.42436629196634235,0.3567940029275349,88.0,0.2374588149111417,112.0,0.3567940029275349,88.0,14.480607726258908,reports\erp_diff\ear_full_main_emotional_vs_neutral_ear_right_grand_average.csv
ear_full_main,emotional_vs_neutral,ear_right,W2,130.0,220.0,11,23,0.045475061712690425,0.5398194815195658,0.2676059067656656,152.0,-0.3437137998841327,212.0,-0.3437137998841327,212.0,3.978503667791795,reports\erp_diff\ear_full_main_emotional_vs_neutral_ear_right_grand_average.csv
ear_full_main,emotional_vs_neutral,ear_right,W3,220.0,320.0,11,26,0.0918839896067809,0.6140293193404142,0.299486972470073,304.0,-0.2472485044062209,236.0,0.299486972470073,304.0,9.48088148675674,reports\erp_diff\ear_full_main_emotional_vs_neutral_ear_right_grand_average.csv
ear_full_main,emotional_vs_neutral,ear_right,W4,320.0,600.0,11,71,0.31272944895057697,0.566719882739776,0.5417377910824598,528.0,0.0601519054976084,344.0,0.5417377910824598,528.0,88.05536696358132,reports\erp_diff\ear_full_main_emotional_vs_neutral_ear_right_grand_average.csv
ear_full_main,face_vs_nonface,ear_full,W1,80.0,130.0,11,13,0.2611680556126863,0.18799580416190723,0.2941635224917828,128.0,0.2092546455614759,80.0,0.2941635224917828,128.0,12.57390255575317,reports\erp_diff\ear_full_main_face_vs_nonface_ear_full_grand_average.csv
ear_full_main,face_vs_nonface,ear_full,W2,130.0,220.0,11,23,0.33947826853927204,0.2778367564000062,0.4337136781946158,164.0,0.2750632485873113,212.0,0.4337136781946158,164.0,30.050565797901555,reports\erp_diff\ear_full_main_face_vs_nonface_ear_full_grand_average.csv
ear_full_main,face_vs_nonface,ear_full,W3,220.0,320.0,11,26,0.4409013033214681,0.35010582792217815,0.611735490863207,320.0,0.2861616551553309,220.0,0.611735490863207,320.0,44.057941253395605,reports\erp_diff\ear_full_main_face_vs_nonface_ear_full_grand_average.csv
ear_full_main,face_vs_nonface,ear_full,W4,320.0,600.0,11,71,0.6354836749403121,0.49027579938347216,0.7316488779743014,544.0,0.5511261227031551,424.0,0.7316488779743014,544.0,178.0940635387407,reports\erp_diff\ear_full_main_face_vs_nonface_ear_full_grand_average.csv
ear_full_main,face_vs_nonface,ear_right,W1,80.0,130.0,11,13,0.8201330242702775,0.2941510926868021,0.8651275768277984,80.0,0.737218271976637,128.0,0.8651275768277984,80.0,39.442225564445565,reports\erp_diff\ear_full_main_face_vs_nonface_ear_right_grand_average.csv
ear_full_main,face_vs_nonface,ear_right,W2,130.0,220.0,11,23,0.5231963249198734,0.3024857809100025,0.7625598280634803,160.0,0.2752977656028855,196.0,0.7625598280634803,160.0,45.67157527891735,reports\erp_diff\ear_full_main_face_vs_nonface_ear_right_grand_average.csv
ear_full_main,face_vs_nonface,ear_right,W3,220.0,320.0,11,26,0.7004292677748941,0.393150113278355,1.0642197257042971,320.0,0.3626554539561317,248.0,1.0642197257042971,320.0,69.55034868420924,reports\erp_diff\ear_full_main_face_vs_nonface_ear_right_grand_average.csv
ear_full_main,face_vs_nonface,ear_right,W4,320.0,600.0,11,71,1.6593980904201522,0.6342136811021011,1.971770177952836,464.0,1.0642197257042971,320.0,1.971770177952836,464.0,465.97853571314005,reports\erp_diff\ear_full_main_face_vs_nonface_ear_right_grand_average.csv
ear_strict_main,face_vs_nonface,ear_strict,W1,80.0,130.0,11,13,0.38636342156845477,0.2284355461638089,0.4579456475142874,104.0,0.2286398212316097,128.0,0.4579456475142874,104.0,18.853463897634654,reports\erp_diff\ear_strict_main_face_vs_nonface_ear_strict_grand_average.csv
ear_strict_main,face_vs_nonface,ear_strict,W2,130.0,220.0,11,23,0.3553559493863156,0.3043252884968788,0.4571698015811573,220.0,0.2178901107795537,136.0,0.4571698015811573,220.0,31.338757724637187,reports\erp_diff\ear_strict_main_face_vs_nonface_ear_strict_grand_average.csv
