figure,modality,contrast,roi,time_ms,mean_difference,sem,source_file
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-200.0,-0.069125066843371,0.3172122280883221,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-196.0,0.0699063760387919,0.4003407154321627,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-192.0,0.142351536445756,0.463968891297923,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-188.0,0.1508428061973862,0.494216336360086,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-184.0,0.0927881557547342,0.4843845024834281,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-180.0,0.0219404511763985,0.4498651062365564,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-176.0,-0.0047702177997691,0.4114719504540719,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-172.0,0.0700399401737258,0.3931174573133127,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-168.0,0.2051016188571918,0.3907422823683903,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-164.0,0.3031732461929524,0.3681782881056187,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-160.0,0.2367373507291041,0.2859303753952474,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-156.0,-0.0121885278373478,0.1946630357522941,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-152.0,-0.36026988413603,0.2717780204265503,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-148.0,-0.6380740826978069,0.4372332131374095,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-144.0,-0.7459131142600697,0.5441676634693322,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-140.0,-0.679529975729269,0.5530320985951482,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-136.0,-0.5494347622984473,0.4800177883589696,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-132.0,-0.4457445120556781,0.3748469740548703,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-128.0,-0.4095114453465445,0.292269338222958,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-124.0,-0.3905766192103909,0.2584224432306267,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-120.0,-0.35126591036598,0.2726595882601755,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-116.0,-0.2726571349559834,0.325466272349972,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-112.0,-0.1973008715351691,0.3846241487836225,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-108.0,-0.1405324318879548,0.3846128082521823,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-104.0,-0.1015311641118888,0.3243599818229952,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-100.0,-0.0344121788644964,0.2536328205211924,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-96.0,0.060213870484987,0.238733401682616,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-92.0,0.1536393933246733,0.2387584736892506,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-88.0,0.172681459472631,0.224823464584437,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-84.0,0.1079718131696515,0.2234082505981397,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-80.0,0.0045379969029416,0.2252907608442526,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-76.0,-0.0306026487545987,0.2229420729207823,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-72.0,0.0398592017689249,0.2262919710257215,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-68.0,0.1720528270634942,0.2560716669211211,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-64.0,0.2313024502581901,0.2930264082128422,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-60.0,0.1466217242010319,0.3093844106105023,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-56.0,-0.047187943735758,0.297610997904862,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-52.0,-0.187545921867021,0.2643762963441906,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-48.0,-0.1505536004084441,0.2410731639967345,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-44.0,0.0774818449876672,0.2119384746807329,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-40.0,0.3514215246075174,0.1506532704055347,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-36.0,0.5242048860181535,0.0986427964193935,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-32.0,0.5240466856044385,0.125409402014947,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-28.0,0.4247896357588027,0.1365019332096967,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-24.0,0.320491878326843,0.1591701468729129,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-20.0,0.2707683528590859,0.235559382120521,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-16.0,0.236967821125581,0.2567165806742458,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-12.0,0.1907284777407772,0.2112985750928131,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-8.0,0.1336350295573724,0.217084008267153,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
figure_01_face_nonface_difference_waves,scalp_sens,face_vs_nonface,late_roi,-4.0,0.1389116077342533,0.2706658054606872,F:\LEMON\reports\erp_diff_sens\scalp_sens_face_vs_nonface_late_roi_grand_average.csv
