subject_id,n_behavior_rows,labels_summary,exclude_ear,exclude_scalp,ear_dropped_channels,scalp_dropped_channels,ear_original_sfreq,ear_original_nchan,ear_raw_duration_sec,ear_full_final_nchan,ear_strict_final_nchan,n_epochs_main_ear,n_epochs_sens_ear,epoch_qc_ear_main,epoch_qc_ear_sensitivity,ear_channels,scalp_original_sfreq,scalp_original_nchan_after_eog_drop,scalp_raw_duration_sec,scalp_final_nchan,n_epochs_main_scalp,n_epochs_sens_scalp,epoch_qc_scalp_main,epoch_qc_scalp_sensitivity,scalp_channels,sfreq_final
200,400,"{'type_counts': {'face': 320, 'non_face': 80}, 'expression_counts': {'angry': 80, 'neutral': 80, 'happy': 80, 'afraid': 80, 'nan': 80}}",False,False,[],[],500.0,11.0,4377.872,11,10,400,400,"{'label': 'sub-200 ear main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4377.868, 'event_tmin_sec': 2053.08, 'event_tmax_sec': 2532.152, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-200 ear sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4377.868, 'event_tmin_sec': 2053.08, 'event_tmax_sec': 2532.152, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['Fpz', 'M1', 'M2', 'EL1', 'EL3', 'EL4', 'EL5', 'ER1', 'ER2', 'ER3', 'ER4']",1000.0,30.0,5813.939,30,400,400,"{'label': 'sub-200 scalp main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5813.936, 'event_tmin_sec': 3482.4, 'event_tmax_sec': 3961.472, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-200 scalp sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5813.936, 'event_tmin_sec': 3482.4, 'event_tmax_sec': 3961.472, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['O1', 'Pz', 'P3', 'P7', 'CP1', 'CP5', 'TP7', 'Cz', 'C3', 'T7', 'FC1', 'FC5', 'F3', 'F7', 'Fp1', 'O2', 'P4', 'P8', 'CP2', 'CP6', 'TP8', 'C4', 'T8', 'Fc2', 'FC6', 'Fz', 'F4', 'F8', 'Fp2', 'Fpz']",250.0
201,400,"{'type_counts': {'face': 320, 'non_face': 80}, 'expression_counts': {'angry': 80, 'neutral': 80, 'nan': 80, 'happy': 80, 'afraid': 80}}",False,False,['ER3'],"['CP5', 'TP7', 'T7']",500.0,11.0,4290.858,10,9,400,400,"{'label': 'sub-201 ear main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4290.856, 'event_tmin_sec': 1529.76, 'event_tmax_sec': 2002.364, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-201 ear sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4290.856, 'event_tmin_sec': 1529.76, 'event_tmax_sec': 2002.364, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['Fpz', 'M1', 'M2', 'EL1', 'EL3', 'EL4', 'EL5', 'ER1', 'ER2', 'ER4']",1000.0,30.0,5258.769,27,400,400,"{'label': 'sub-201 scalp main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5258.764, 'event_tmin_sec': 2294.036, 'event_tmax_sec': 2766.64, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-201 scalp sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5258.764, 'event_tmin_sec': 2294.036, 'event_tmax_sec': 2766.64, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['O1', 'Pz', 'P3', 'P7', 'CP1', 'Cz', 'C3', 'FC1', 'FC5', 'F3', 'F7', 'Fp1', 'O2', 'P4', 'P8', 'CP2', 'CP6', 'TP8', 'C4', 'T8', 'Fc2', 'FC6', 'Fz', 'F4', 'F8', 'Fp2', 'Fpz']",250.0
202,400,"{'type_counts': {'face': 320, 'non_face': 80}, 'expression_counts': {'nan': 80, 'afraid': 80, 'neutral': 80, 'happy': 80, 'angry': 80}}",False,False,['EL4'],['FC5'],500.0,11.0,4179.99,10,9,400,400,"{'label': 'sub-202 ear main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4179.988, 'event_tmin_sec': 3360.896, 'event_tmax_sec': 3843.984, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-202 ear sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4179.988, 'event_tmin_sec': 3360.896, 'event_tmax_sec': 3843.984, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['Fpz', 'M1', 'M2', 'EL1', 'EL3', 'EL5', 'ER1', 'ER2', 'ER3', 'ER4']",1000.0,30.0,5951.439,29,400,400,"{'label': 'sub-202 scalp main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5951.436, 'event_tmin_sec': 4649.612, 'event_tmax_sec': 5132.696, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-202 scalp sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5951.436, 'event_tmin_sec': 4649.612, 'event_tmax_sec': 5132.696, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['O1', 'Pz', 'P3', 'P7', 'CP1', 'CP5', 'TP7', 'Cz', 'C3', 'T7', 'FC1', 'F3', 'F7', 'Fp1', 'O2', 'P4', 'P8', 'CP2', 'CP6', 'TP8', 'C4', 'T8', 'Fc2', 'FC6', 'Fz', 'F4', 'F8', 'Fp2', 'Fpz']",250.0
203,400,"{'type_counts': {'face': 320, 'non_face': 80}, 'expression_counts': {'nan': 80, 'afraid': 80, 'neutral': 80, 'angry': 80, 'happy': 80}}",False,False,[],['FC1'],500.0,11.0,4281.388,11,10,400,400,"{'label': 'sub-203 ear main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4281.388, 'event_tmin_sec': 2386.096, 'event_tmax_sec': 2881.176, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-203 ear sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4281.388, 'event_tmin_sec': 2386.096, 'event_tmax_sec': 2881.176, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['Fpz', 'M1', 'M2', 'EL1', 'EL3', 'EL4', 'EL5', 'ER1', 'ER2', 'ER3', 'ER4']",1000.0,30.0,5104.879,29,400,400,"{'label': 'sub-203 scalp main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5104.876, 'event_tmin_sec': 3058.42, 'event_tmax_sec': 3553.5, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-203 scalp sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5104.876, 'event_tmin_sec': 3058.42, 'event_tmax_sec': 3553.5, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['O1', 'Pz', 'P3', 'P7', 'CP1', 'CP5', 'TP7', 'Cz', 'C3', 'T7', 'FC5', 'F3', 'F7', 'Fp1', 'O2', 'P4', 'P8', 'CP2', 'CP6', 'TP8', 'C4', 'T8', 'Fc2', 'FC6', 'Fz', 'F4', 'F8', 'Fp2', 'Fpz']",250.0
205,400,"{'type_counts': {'face': 320, 'non_face': 80}, 'expression_counts': {'neutral': 80, 'nan': 80, 'happy': 80, 'angry': 80, 'afraid': 80}}",False,False,[],"['CP2', 'Fc2']",500.0,11.0,4373.482,11,10,400,400,"{'label': 'sub-205 ear main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4373.48, 'event_tmin_sec': 2515.424, 'event_tmax_sec': 2986.448, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-205 ear sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4373.48, 'event_tmin_sec': 2515.424, 'event_tmax_sec': 2986.448, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['Fpz', 'M1', 'M2', 'EL1', 'EL3', 'EL4', 'EL5', 'ER1', 'ER2', 'ER3', 'ER4']",1000.0,30.0,5546.639,28,400,400,"{'label': 'sub-205 scalp main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5546.636, 'event_tmin_sec': 3411.924, 'event_tmax_sec': 3882.948, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-205 scalp sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5546.636, 'event_tmin_sec': 3411.924, 'event_tmax_sec': 3882.948, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['O1', 'Pz', 'P3', 'P7', 'CP1', 'CP5', 'TP7', 'Cz', 'C3', 'T7', 'FC1', 'FC5', 'F3', 'F7', 'Fp1', 'O2', 'P4', 'P8', 'CP6', 'TP8', 'C4', 'T8', 'FC6', 'Fz', 'F4', 'F8', 'Fp2', 'Fpz']",250.0
206,400,"{'type_counts': {'face': 320, 'non_face': 80}, 'expression_counts': {'neutral': 80, 'nan': 80, 'afraid': 80, 'angry': 80, 'happy': 80}}",False,False,[],"['FC5', 'F3']",500.0,11.0,3782.548,11,10,400,400,"{'label': 'sub-206 ear main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 3782.548, 'event_tmin_sec': 1375.036, 'event_tmax_sec': 1865.4, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-206 ear sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 3782.548, 'event_tmin_sec': 1375.036, 'event_tmax_sec': 1865.4, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['Fpz', 'M1', 'M2', 'EL1', 'EL3', 'EL4', 'EL5', 'ER1', 'ER2', 'ER3', 'ER4']",1000.0,30.0,5547.409,28,400,400,"{'label': 'sub-206 scalp main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5547.404, 'event_tmin_sec': 3092.776, 'event_tmax_sec': 3583.136, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-206 scalp sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5547.404, 'event_tmin_sec': 3092.776, 'event_tmax_sec': 3583.136, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['O1', 'Pz', 'P3', 'P7', 'CP1', 'CP5', 'TP7', 'Cz', 'C3', 'T7', 'FC1', 'F7', 'Fp1', 'O2', 'P4', 'P8', 'CP2', 'CP6', 'TP8', 'C4', 'T8', 'Fc2', 'FC6', 'Fz', 'F4', 'F8', 'Fp2', 'Fpz']",250.0
208,400,"{'type_counts': {'face': 320, 'non_face': 80}, 'expression_counts': {'nan': 80, 'afraid': 80, 'neutral': 80, 'happy': 80, 'angry': 80}}",False,False,[],"['FC5', 'F3']",500.0,11.0,4655.706,11,10,400,400,"{'label': 'sub-208 ear main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4655.704, 'event_tmin_sec': 3831.808, 'event_tmax_sec': 4290.452, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-208 ear sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4655.704, 'event_tmin_sec': 3831.808, 'event_tmax_sec': 4290.452, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['Fpz', 'M1', 'M2', 'EL1', 'EL3', 'EL4', 'EL5', 'ER1', 'ER2', 'ER3', 'ER4']",1000.0,30.0,5308.269,28,400,400,"{'label': 'sub-208 scalp main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5308.268, 'event_tmin_sec': 4316.748, 'event_tmax_sec': 4775.396, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-208 scalp sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 5308.268, 'event_tmin_sec': 4316.748, 'event_tmax_sec': 4775.396, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['O1', 'Pz', 'P3', 'P7', 'CP1', 'CP5', 'TP7', 'Cz', 'C3', 'T7', 'FC1', 'F7', 'Fp1', 'O2', 'P4', 'P8', 'CP2', 'CP6', 'TP8', 'C4', 'T8', 'Fc2', 'FC6', 'Fz', 'F4', 'F8', 'Fp2', 'Fpz']",250.0
209,400,"{'type_counts': {'face': 320, 'non_face': 80}, 'expression_counts': {'afraid': 80, 'angry': 80, 'nan': 80, 'happy': 80, 'neutral': 80}}",False,True,[],[],500.0,11.0,4287.932,11,10,400,400,"{'label': 'sub-209 ear main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4287.932, 'event_tmin_sec': 3236.26, 'event_tmax_sec': 3705.152, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-209 ear sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4287.932, 'event_tmin_sec': 3236.26, 'event_tmax_sec': 3705.152, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['Fpz', 'M1', 'M2', 'EL1', 'EL3', 'EL4', 'EL5', 'ER1', 'ER2', 'ER3', 'ER4']",,,,0,0,0,,,[],250.0
211,400,"{'type_counts': {'face': 320, 'non_face': 80}, 'expression_counts': {'neutral': 80, 'angry': 80, 'afraid': 80, 'nan': 80, 'happy': 80}}",False,False,[],"['FC5', 'F3', 'TP8']",500.0,11.0,4821.9,11,10,400,400,"{'label': 'sub-211 ear main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4821.9, 'event_tmin_sec': 4257.052, 'event_tmax_sec': 4757.776, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-211 ear sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4821.9, 'event_tmin_sec': 4257.052, 'event_tmax_sec': 4757.776, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['Fpz', 'M1', 'M2', 'EL1', 'EL3', 'EL4', 'EL5', 'ER1', 'ER2', 'ER3', 'ER4']",1000.0,30.0,6052.859,27,400,400,"{'label': 'sub-211 scalp main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 6052.856, 'event_tmin_sec': 5184.84, 'event_tmax_sec': 5685.568, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-211 scalp sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 6052.856, 'event_tmin_sec': 5184.84, 'event_tmax_sec': 5685.568, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['O1', 'Pz', 'P3', 'P7', 'CP1', 'CP5', 'TP7', 'Cz', 'C3', 'T7', 'FC1', 'F7', 'Fp1', 'O2', 'P4', 'P8', 'CP2', 'CP6', 'C4', 'T8', 'Fc2', 'FC6', 'Fz', 'F4', 'F8', 'Fp2', 'Fpz']",250.0
212,400,"{'type_counts': {'face': 320, 'non_face': 80}, 'expression_counts': {'angry': 80, 'neutral': 80, 'afraid': 80, 'happy': 80, 'nan': 80}}",False,True,[],[],500.0,11.0,4754.142,11,10,400,400,"{'label': 'sub-212 ear main', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4754.14, 'event_tmin_sec': 767.656, 'event_tmax_sec': 1287.32, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","{'label': 'sub-212 ear sensitivity', 'n_events_input': 400, 'raw_tmin_sec': 0.0, 'raw_tmax_sec': 4754.14, 'event_tmin_sec': 767.656, 'event_tmax_sec': 1287.32, 'reject_uv_requested': None, 'fallback_without_reject': False, 'n_epochs_after_first_pass': 400, 'n_epochs_dropped_first_pass': 0, 'n_epochs_final': 400, 'n_epochs_dropped_final': 0}","['Fpz', 'M1', 'M2', 'EL1', 'EL3', 'EL4', 'EL5', 'ER1', 'ER2', 'ER3', 'ER4']",,,,0,0,0,,,[],250.0
