subject_id,modality,contrast,condition_a,condition_b,roi,window,start_ms,end_ms,mean_a,mean_b,difference,n_a,n_b
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W1,80,130,-0.0007593844269775,0.0029036294278334,-0.0036630138548108997,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W1,80,130,2.0700448524252946,-0.4975026349972361,2.5675474874225306,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W1,80,130,1.6031968055790329,-3.982537904568948,5.585734710147981,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W1,80,130,0.0138959419473274,-0.0114354881329007,0.0253314300802281,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W1,80,130,-0.0127117517898561,0.0108969214999609,-0.023608673289817,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W1,80,130,0.0005033761678982,0.0025343236106963,-0.0020309474427981002,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W1,80,130,-0.0081321624727613,0.0094772623949418,-0.017609424867703102,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W1,80,130,0.0024396044980715,-0.0261116727291366,0.0285512772272081,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W1,80,130,0.0130932968711586,-0.0490559112978855,0.0621492081690441,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W1,80,130,0.0143378245961795,0.0209364141440246,-0.006598589547845101,240.0,80.0
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W1,80,130,-0.0052496684172101,-0.0164389106243359,0.011189242207125801,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W2,130,220,0.0033677324425549,0.0064072910910324,-0.0030395586484775004,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W2,130,220,0.4284973483540459,1.9647042882716024,-1.5362069399175564,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W2,130,220,1.8401488118052092,-4.90703661913516,6.747185430940369,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W2,130,220,0.0133287851264507,-0.0213707202283272,0.0346995053547779,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W2,130,220,-0.0068172636933585,0.0202357543504894,-0.0270530180438479,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W2,130,220,-0.000826389155819,-0.0073039677449745,0.0064775785891555,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W2,130,220,-0.0080847225173796,0.0123077982345409,-0.020392520751920502,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W2,130,220,-0.0022958185346261,-0.0163554869584766,0.014059668423850499,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W2,130,220,0.0012036916400022,-0.049571633830807,0.0507753254708092,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W2,130,220,-0.0062057675526117,0.0115648576596533,-0.017770625212265002,240.0,80.0
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W2,130,220,-0.0173414561658966,-0.0275403499299813,0.010198893764084699,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W3,220,320,0.0014763108501619,0.0175959050942797,-0.0161195942441178,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W3,220,320,-1.2866882834363356,1.161146447037405,-2.4478347304737404,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W3,220,320,2.0046363669642004,-5.979598209910493,7.984234576874693,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W3,220,320,0.0166708565318823,-0.0003947803882411,0.0170656369201234,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W3,220,320,-0.0148898664381489,-0.0103505920833088,-0.004539274354840101,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W3,220,320,-0.0126831809722768,0.0243081514003962,-0.036991332372673,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W3,220,320,-0.0006529716438376,0.0339856636822109,-0.034638635326048495,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W3,220,320,-0.0029643485682538,-0.0112699695502814,0.0083056209820276,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W3,220,320,0.0178142402822439,-0.030332470098595,0.0481467103808389,240.0,80.0
