window,start_ms,end_ms,channel,n_subjects,mean_difference,median_difference,std_difference,sem_difference,include_in_topomap
W1,80.0,130.0,Fp1,11,-0.2243531770545708,-0.9562526856599307,3.2962405918373237,0.9938539328966749,True
W1,80.0,130.0,Fpz,11,0.0031499091121929075,-0.9389463627634651,2.9820151665815477,0.8991114024272863,True
W1,80.0,130.0,Fp2,11,-0.18640652412481765,-1.59593332245261,3.1470552466312545,0.9488728588722948,True
W1,80.0,130.0,F7,11,0.5324418398352375,0.5883646229552877,2.278277340333121,0.6869264642048905,True
W1,80.0,130.0,F3,7,-0.15204237505303214,0.26775127093478135,1.0756318116327037,0.4065506108357152,True
W1,80.0,130.0,Fz,11,0.23650111554956152,-0.04069953027394124,2.0998907985838167,0.6331408981474804,True
W1,80.0,130.0,F4,10,0.04996746277217756,-0.7750692332666975,2.253699291914203,0.7126822923557578,True
W1,80.0,130.0,F8,11,0.8344046015923939,0.791091273496602,2.2504088541023743,0.6785237994501112,True
W1,80.0,130.0,FC5,6,0.2401502958522589,0.7639824777430921,1.2952191546237541,0.5287710056511976,True
W1,80.0,130.0,FC1,9,0.6230114058613236,0.34072817810468203,2.0935698336837607,0.6978566112279202,True
W1,80.0,130.0,FC2,9,0.3398111582695566,-0.3758344672362848,2.0822968927701004,0.6940989642567001,True
W1,80.0,130.0,FC6,11,0.6788778736688008,0.5380417997583717,1.905324067414917,0.5744768214226451,True
W1,80.0,130.0,T7,10,0.8873304569048631,0.39034205298417235,1.8119315138561676,0.5729830548022431,True
W1,80.0,130.0,C3,11,0.34697411213707396,0.33480484670900834,1.736707279425112,0.5236369469574553,True
W1,80.0,130.0,Cz,9,0.2398118732401239,-0.3918329882924736,1.9586633918099006,0.6528877972699668,True
W1,80.0,130.0,C4,11,0.1543535819658626,-0.37831560279985676,1.9421866907817786,0.5855913205586513,True
W1,80.0,130.0,T8,11,1.1419609633675434,0.7957772006637258,1.9033508944383706,0.5738818873854022,True
W1,80.0,130.0,TP7,10,0.39748296718384185,0.120290295948344,1.8302436996702658,0.5787738764131206,True
W1,80.0,130.0,CP5,10,0.3817131345466208,0.30008548952975816,1.811502605069439,0.5728474219347909,True
W1,80.0,130.0,CP1,10,-0.13400135664289312,-0.6612557251397418,1.877409589837943,0.5936890404930406,True
W1,80.0,130.0,CP2,9,-0.053477713579937164,-0.27451521191864237,2.1769358681960003,0.7256452893986668,True
W1,80.0,130.0,CP6,11,0.5700541271683924,0.3588088560075331,2.2965111709025003,0.6924241709766671,True
W1,80.0,130.0,TP8,10,0.5310940487094962,0.44793002092691925,1.6577922918669656,0.5242399529770244,True
W1,80.0,130.0,P7,11,0.5622935719500023,1.3363121248509637,2.069241810162827,0.6238998804387196,True
W1,80.0,130.0,P3,11,-0.009772317217405367,0.018391813933902323,2.662604512102714,0.8028054665229096,True
W1,80.0,130.0,Pz,11,0.36738089180814026,0.04447928149780811,1.9132994489835118,0.576881489442913,True
